request_id,customer_id,customer_plan,product_id,product_name,category,title,description,submitted_date,status,priority,votes,assigned_product_manager
FR-00116,CUST-00777,Enterprise,P003,CloudDesk Analytics,Reporting,Cohort-based retention reporting for repeat contacts,"We'd like to see how often the same customer contacts support repeatedly over time, grouped by when they first became a customer.",2026-03-01,In Progress,Low,7,Jason Sherman
FR-00117,CUST-00461,Starter,P003,CloudDesk Analytics,Reporting,Cohort-based retention reporting for repeat contacts,"We'd like to see how often the same customer contacts support repeatedly over time, grouped by when they first became a customer.",2024-02-09,Declined,High,36,Kelly Golden
FR-00118,CUST-00787,Professional,P004,CloudDesk API Platform,Webhooks,Webhook event filtering by tag or custom field value,We only care about a subset of ticket events based on a specific tag. Being able to filter webhook subscriptions server-side would reduce noise on our end.,2026-08-02,Planned,Medium,1,Donna Baird
FR-00119,CUST-00177,Professional,P001,CloudDesk Chat,UI/UX,Ability to preview widget on an actual staging URL before publishing,The live preview panel is helpful but doesn't reflect our actual site's CSS conflicts. A way to preview against a real staging URL would catch issues earlier.,2024-08-01,Duplicate,High,22,Donna Baird
FR-00120,CUST-00129,Professional,P001,CloudDesk Chat,Reporting,Chat-specific abandonment rate metric,"We'd like to see a report showing how many chat sessions are started but abandoned before an agent responds, broken out by time of day.",2026-06-16,Under Review,High,1,
FR-00121,CUST-00104,Enterprise,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2025-08-12,Declined,Medium,34,Kelly Golden
FR-00122,CUST-00443,Professional,P001,CloudDesk Chat,UI/UX,Ability to preview widget on an actual staging URL before publishing,The live preview panel is helpful but doesn't reflect our actual site's CSS conflicts. A way to preview against a real staging URL would catch issues earlier.,2025-08-14,Declined,High,5,John Williams
FR-00123,CUST-00697,Starter,P004,CloudDesk API Platform,Sandbox,"Sandbox environment available on Professional, not just Enterprise",We're not yet at Enterprise scale but still want a safe environment to test integration changes before they touch production data.,2026-07-23,Planned,Medium,6,Pamela Berry
FR-00124,CUST-00930,Professional,P001,CloudDesk Chat,UI/UX,Ability to preview widget on an actual staging URL before publishing,The live preview panel is helpful but doesn't reflect our actual site's CSS conflicts. A way to preview against a real staging URL would catch issues earlier.,2025-10-20,In Progress,Low,10,John Williams
FR-00125,CUST-00688,Starter,P005,CloudDesk Mobile,Security,Support for hardware security keys as a biometric lock alternative,"Some of our regulated-industry agents use hardware security keys rather than device biometrics, and we'd like that as a supported unlock method.",2025-02-16,Planned,Low,15,Jason Sherman
FR-00126,CUST-00799,Enterprise,P005,CloudDesk Mobile,Security,Support for hardware security keys as a biometric lock alternative,"Some of our regulated-industry agents use hardware security keys rather than device biometrics, and we'd like that as a supported unlock method.",2025-11-09,Shipped,High,11,Jason Sherman
FR-00127,CUST-00029,Starter,P005,CloudDesk Mobile,UI/UX,Widget or home screen shortcut for quick status toggling,Switching availability status currently requires opening the app fully. A home screen widget for quick status toggling would save time between calls.,2026-07-25,Under Review,Low,1,
FR-00128,CUST-00164,Professional,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2024-10-30,Duplicate,Medium,30,John Williams
FR-00129,CUST-00323,Professional,P005,CloudDesk Mobile,Analytics,Push notification when a specific metric on the mobile snapshot changes significantly,"We'd like an optional push alert when our mobile-visible performance snapshot shows an unusual shift, similar to desktop threshold alerts.",2026-08-02,Under Review,High,5,Kelly Golden
FR-00130,CUST-00591,Enterprise,P004,CloudDesk API Platform,Webhooks,Webhook event filtering by tag or custom field value,We only care about a subset of ticket events based on a specific tag. Being able to filter webhook subscriptions server-side would reduce noise on our end.,2024-09-11,Under Review,Medium,36,
FR-00131,CUST-00133,Starter,P004,CloudDesk API Platform,Rate Limits,Burst allowance above the steady-state rate limit,Our usage is generally well within limits but spikes briefly during specific automated jobs. A short burst allowance would avoid unnecessary 429 errors.,2025-12-17,Under Review,Low,13,John Williams
FR-00132,CUST-00816,Starter,P005,CloudDesk Mobile,UI/UX,Widget or home screen shortcut for quick status toggling,Switching availability status currently requires opening the app fully. A home screen widget for quick status toggling would save time between calls.,2025-06-08,Shipped,Medium,23,Emily Dominguez
FR-00133,CUST-00687,Professional,P002,CloudDesk Tickets,UI/UX,Keyboard-only workflow for reviewing and merging duplicate tickets,Merging duplicates currently requires several clicks per pair. A faster keyboard-driven review flow would help during high-volume periods.,2025-06-17,Declined,Medium,5,Emily Dominguez
FR-00134,CUST-00273,Professional,P003,CloudDesk Analytics,Export,More frequent data warehouse export scheduling,The current export schedule options aren't frequent enough for our near-real-time internal reporting needs. We'd like an hourly option.,2026-01-12,Duplicate,Low,5,Jason Sherman
FR-00135,CUST-00847,Starter,P002,CloudDesk Tickets,Integrations,Two-way tag sync with our project management tool,Currently tags only sync to the linked issue at creation time. We'd like tags added after the fact to sync automatically as well.,2025-09-28,Planned,Low,18,Kelly Golden
FR-00136,CUST-00354,Professional,P002,CloudDesk Tickets,Integrations,Two-way tag sync with our project management tool,Currently tags only sync to the linked issue at creation time. We'd like tags added after the fact to sync automatically as well.,2025-02-08,Planned,Low,16,Emily Dominguez
FR-00137,CUST-00235,Enterprise,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2026-01-25,Under Review,High,8,
FR-00138,CUST-00343,Professional,P005,CloudDesk Mobile,Accessibility,Improved screen reader support throughout the app,"We have a team member who relies on a screen reader, and several screens in the app aren't fully navigable with it currently.",2024-11-07,In Progress,Medium,22,Jason Sherman
FR-00139,CUST-00204,Starter,P003,CloudDesk Analytics,Reporting,Custom metric builder beyond the standard metric definitions,"We'd like to define our own calculated metrics (for example, a weighted composite score) rather than being limited to the standard, pre-defined metric set.",2026-04-16,In Progress,High,4,John Williams
FR-00140,CUST-00056,Enterprise,P003,CloudDesk Analytics,Reporting,Cohort-based retention reporting for repeat contacts,"We'd like to see how often the same customer contacts support repeatedly over time, grouped by when they first became a customer.",2025-05-31,Duplicate,High,22,Jason Sherman
FR-00141,CUST-00652,Starter,P001,CloudDesk Chat,Reporting,Chat-specific abandonment rate metric,"We'd like to see a report showing how many chat sessions are started but abandoned before an agent responds, broken out by time of day.",2025-03-02,Planned,Medium,15,John Williams
FR-00142,CUST-00523,Starter,P001,CloudDesk Chat,Reporting,Chat-specific abandonment rate metric,"We'd like to see a report showing how many chat sessions are started but abandoned before an agent responds, broken out by time of day.",2025-09-17,Under Review,Low,12,Pamela Berry
FR-00143,CUST-00959,Starter,P005,CloudDesk Mobile,Analytics,Push notification when a specific metric on the mobile snapshot changes significantly,"We'd like an optional push alert when our mobile-visible performance snapshot shows an unusual shift, similar to desktop threshold alerts.",2025-08-17,Under Review,Medium,8,Jason Sherman
FR-00144,CUST-00546,Professional,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2025-01-09,Under Review,High,20,
FR-00145,CUST-00065,Starter,P003,CloudDesk Analytics,Reporting,Custom metric builder beyond the standard metric definitions,"We'd like to define our own calculated metrics (for example, a weighted composite score) rather than being limited to the standard, pre-defined metric set.",2025-03-16,Under Review,Low,28,
FR-00146,CUST-00777,Enterprise,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2024-10-17,Under Review,Medium,28,
FR-00147,CUST-00267,Enterprise,P004,CloudDesk API Platform,Webhooks,Webhook event filtering by tag or custom field value,We only care about a subset of ticket events based on a specific tag. Being able to filter webhook subscriptions server-side would reduce noise on our end.,2025-12-13,Under Review,Low,10,
FR-00148,CUST-00419,Starter,P005,CloudDesk Mobile,Notifications,Per-team notification profiles,We support multiple product lines from one account and would like different notification rules depending on which team a ticket belongs to.,2026-04-30,Under Review,Medium,8,
FR-00149,CUST-00314,Professional,P003,CloudDesk Analytics,Reporting,Custom metric builder beyond the standard metric definitions,"We'd like to define our own calculated metrics (for example, a weighted composite score) rather than being limited to the standard, pre-defined metric set.",2024-05-18,Duplicate,Low,41,Emily Dominguez
FR-00150,CUST-00840,Starter,P001,CloudDesk Chat,Reporting,Chat-specific abandonment rate metric,"We'd like to see a report showing how many chat sessions are started but abandoned before an agent responds, broken out by time of day.",2026-06-12,Under Review,Low,1,Kelly Golden
FR-00151,CUST-00029,Starter,P005,CloudDesk Mobile,Security,Support for hardware security keys as a biometric lock alternative,"Some of our regulated-industry agents use hardware security keys rather than device biometrics, and we'd like that as a supported unlock method.",2026-08-03,In Progress,Critical,1,Donna Baird
FR-00152,CUST-00361,Starter,P002,CloudDesk Tickets,SLA,"SLA targets that vary by customer tier, not just priority","We'd like our SLA rules to also factor in the requesting customer's account tier, not only the ticket's priority level.",2026-05-29,Shipped,Low,2,Kelly Golden
FR-00153,CUST-00185,Professional,P003,CloudDesk Analytics,Export,More frequent data warehouse export scheduling,The current export schedule options aren't frequent enough for our near-real-time internal reporting needs. We'd like an hourly option.,2026-07-21,In Progress,Medium,8,Emily Dominguez
FR-00154,CUST-00376,Professional,P001,CloudDesk Chat,UI/UX,Ability to preview widget on an actual staging URL before publishing,The live preview panel is helpful but doesn't reflect our actual site's CSS conflicts. A way to preview against a real staging URL would catch issues earlier.,2025-11-15,Planned,Low,18,John Williams
FR-00155,CUST-00059,Enterprise,P002,CloudDesk Tickets,Integrations,Two-way tag sync with our project management tool,Currently tags only sync to the linked issue at creation time. We'd like tags added after the fact to sync automatically as well.,2025-08-24,Shipped,Low,14,Emily Dominguez
FR-00156,CUST-00218,Starter,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2025-12-26,Shipped,Critical,3,Pamela Berry
FR-00157,CUST-00694,Professional,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2024-03-20,Under Review,Low,36,
FR-00158,CUST-00965,Starter,P003,CloudDesk Analytics,Reporting,Custom metric builder beyond the standard metric definitions,"We'd like to define our own calculated metrics (for example, a weighted composite score) rather than being limited to the standard, pre-defined metric set.",2025-01-18,Under Review,Medium,31,
FR-00159,CUST-00300,Professional,P003,CloudDesk Analytics,Mobile,Fuller reporting detail available in the mobile snapshot,The mobile performance snapshot is helpful but too condensed for some of our quick decision-making. We'd like a middle-ground detail level.,2026-05-28,In Progress,High,10,John Williams
FR-00160,CUST-00266,Professional,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2026-08-02,Under Review,Low,10,
FR-00161,CUST-00026,Starter,P003,CloudDesk Analytics,Dashboards,Dashboard version history and rollback,"When someone edits a shared dashboard's layout, we'd like to be able to see prior versions and roll back if the change wasn't an improvement.",2026-07-29,Under Review,Medium,1,John Williams
FR-00162,CUST-00976,Professional,P004,CloudDesk API Platform,Rate Limits,Burst allowance above the steady-state rate limit,Our usage is generally well within limits but spikes briefly during specific automated jobs. A short burst allowance would avoid unnecessary 429 errors.,2025-04-03,Under Review,Medium,14,
FR-00163,CUST-00446,Starter,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2026-05-04,Duplicate,Low,3,Kelly Golden
FR-00164,CUST-00126,Starter,P001,CloudDesk Chat,Reporting,Chat-specific abandonment rate metric,"We'd like to see a report showing how many chat sessions are started but abandoned before an agent responds, broken out by time of day.",2026-02-28,Shipped,Medium,5,Pamela Berry
FR-00165,CUST-00720,Professional,P004,CloudDesk API Platform,Sandbox,"Sandbox environment available on Professional, not just Enterprise",We're not yet at Enterprise scale but still want a safe environment to test integration changes before they touch production data.,2024-10-26,Planned,Low,23,Pamela Berry
FR-00166,CUST-00172,Starter,P001,CloudDesk Chat,Integrations,Native integration with our specific e-commerce platform,"We use a smaller, regional e-commerce platform that isn't in the current integration marketplace. Would like to see native support rather than building our own via the API.",2026-02-22,Under Review,High,11,Kelly Golden
FR-00167,CUST-00337,Professional,P001,CloudDesk Chat,Mobile SDK,In-app chat SDK support for React Native,Our mobile app is built in React Native and the current SDK only has native iOS/Android options. A React Native wrapper would save significant engineering time.,2025-02-04,Under Review,Low,16,
FR-00168,CUST-00025,Professional,P002,CloudDesk Tickets,Custom Fields,Field-level permissions on custom fields,"Some of our custom fields contain sensitive account information that only certain roles should be able to view or edit, not just ticket-level permissions.",2025-06-15,Under Review,High,18,Emily Dominguez
FR-00169,CUST-00656,Enterprise,P003,CloudDesk Analytics,Export,More frequent data warehouse export scheduling,The current export schedule options aren't frequent enough for our near-real-time internal reporting needs. We'd like an hourly option.,2024-04-25,Declined,Medium,29,Donna Baird
FR-00170,CUST-00122,Starter,P001,CloudDesk Chat,Mobile SDK,In-app chat SDK support for React Native,Our mobile app is built in React Native and the current SDK only has native iOS/Android options. A React Native wrapper would save significant engineering time.,2025-08-24,Under Review,Medium,11,Kelly Golden
FR-00171,CUST-00612,Professional,P002,CloudDesk Tickets,UI/UX,Keyboard-only workflow for reviewing and merging duplicate tickets,Merging duplicates currently requires several clicks per pair. A faster keyboard-driven review flow would help during high-volume periods.,2024-09-08,Planned,Low,29,Emily Dominguez
FR-00172,CUST-00446,Starter,P005,CloudDesk Mobile,Offline,Fuller offline mode covering more than draft composition,"We'd like to view more cached ticket history and take more actions while fully offline, not just compose a reply for later sending.",2026-04-11,Planned,Medium,8,Pamela Berry
FR-00173,CUST-00815,Starter,P004,CloudDesk API Platform,Bulk Operations,Asynchronous bulk export job status via webhook instead of polling,We currently poll for large export job completion. A webhook notification when a bulk job finishes would be more efficient for us.,2024-03-29,Under Review,Medium,29,
FR-00174,CUST-00523,Starter,P004,CloudDesk API Platform,Webhooks,Webhook event filtering by tag or custom field value,We only care about a subset of ticket events based on a specific tag. Being able to filter webhook subscriptions server-side would reduce noise on our end.,2026-01-19,Under Review,Low,11,
FR-00175,CUST-00471,Professional,P003,CloudDesk Analytics,Export,More frequent data warehouse export scheduling,The current export schedule options aren't frequent enough for our near-real-time internal reporting needs. We'd like an hourly option.,2024-02-28,Shipped,Medium,30,Donna Baird
FR-00176,CUST-00917,Enterprise,P004,CloudDesk API Platform,Documentation,"Interactive, runnable code samples in multiple languages",The current code samples are helpful but only in a couple of languages. Runnable examples in more languages would speed up our integration work.,2025-11-01,Declined,Low,15,Donna Baird
FR-00177,CUST-00647,Enterprise,P001,CloudDesk Chat,Integrations,Native integration with our specific e-commerce platform,"We use a smaller, regional e-commerce platform that isn't in the current integration marketplace. Would like to see native support rather than building our own via the API.",2026-04-24,Duplicate,Medium,9,Kelly Golden
FR-00178,CUST-00307,Starter,P005,CloudDesk Mobile,UI/UX,Widget or home screen shortcut for quick status toggling,Switching availability status currently requires opening the app fully. A home screen widget for quick status toggling would save time between calls.,2025-11-09,Declined,Medium,15,John Williams
FR-00179,CUST-00849,Starter,P004,CloudDesk API Platform,Documentation,"Interactive, runnable code samples in multiple languages",The current code samples are helpful but only in a couple of languages. Runnable examples in more languages would speed up our integration work.,2026-03-14,Under Review,Medium,6,John Williams
FR-00180,CUST-00016,Starter,P004,CloudDesk API Platform,Webhooks,Webhook event filtering by tag or custom field value,We only care about a subset of ticket events based on a specific tag. Being able to filter webhook subscriptions server-side would reduce noise on our end.,2026-06-25,In Progress,High,1,Donna Baird
FR-00181,CUST-00354,Professional,P004,CloudDesk API Platform,Developer Experience,Official Python SDK client library,"We're currently wrapping the REST API ourselves in Python. An official, maintained client library would reduce our maintenance burden.",2025-10-04,Planned,Low,15,Donna Baird
FR-00182,CUST-00139,Professional,P001,CloudDesk Chat,Multi-language,Multi-language widget support on the Starter plan,Our team is small but multilingual. Being limited to a single widget language on Starter is a blocker even though we don't need the rest of Professional yet.,2026-07-16,Planned,Medium,1,Jason Sherman
FR-00183,CUST-00295,Starter,P005,CloudDesk Mobile,Notifications,Per-team notification profiles,We support multiple product lines from one account and would like different notification rules depending on which team a ticket belongs to.,2025-10-14,Declined,Low,8,Jason Sherman
FR-00184,CUST-00352,Starter,P005,CloudDesk Mobile,Accessibility,Improved screen reader support throughout the app,"We have a team member who relies on a screen reader, and several screens in the app aren't fully navigable with it currently.",2025-01-21,Under Review,Medium,14,
FR-00185,CUST-00348,Starter,P004,CloudDesk API Platform,Rate Limits,Burst allowance above the steady-state rate limit,Our usage is generally well within limits but spikes briefly during specific automated jobs. A short burst allowance would avoid unnecessary 429 errors.,2024-11-14,In Progress,Medium,35,Donna Baird
FR-00186,CUST-00503,Starter,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2026-07-07,Under Review,Medium,1,
FR-00187,CUST-00421,Enterprise,P003,CloudDesk Analytics,Mobile,Fuller reporting detail available in the mobile snapshot,The mobile performance snapshot is helpful but too condensed for some of our quick decision-making. We'd like a middle-ground detail level.,2025-12-06,Under Review,High,16,
FR-00188,CUST-00363,Enterprise,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2025-12-27,Under Review,High,9,Emily Dominguez
FR-00189,CUST-00488,Starter,P001,CloudDesk Chat,Widget Customization,Full custom CSS control over the chat widget,"We'd like more granular styling control over the chat widget beyond the current color and logo options, ideally full CSS override support for advanced branding needs.",2026-02-02,Under Review,Low,12,
FR-00190,CUST-00145,Starter,P001,CloudDesk Chat,Reporting,Chat-specific abandonment rate metric,"We'd like to see a report showing how many chat sessions are started but abandoned before an agent responds, broken out by time of day.",2024-09-29,Planned,Medium,25,Kelly Golden
FR-00191,CUST-00464,Starter,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2026-02-03,Duplicate,Medium,11,Kelly Golden
FR-00192,CUST-00811,Professional,P001,CloudDesk Chat,UI/UX,Ability to preview widget on an actual staging URL before publishing,The live preview panel is helpful but doesn't reflect our actual site's CSS conflicts. A way to preview against a real staging URL would catch issues earlier.,2026-07-07,Planned,Medium,7,John Williams
FR-00193,CUST-00409,Professional,P002,CloudDesk Tickets,UI/UX,Keyboard-only workflow for reviewing and merging duplicate tickets,Merging duplicates currently requires several clicks per pair. A faster keyboard-driven review flow would help during high-volume periods.,2024-05-27,In Progress,Medium,23,John Williams
FR-00194,CUST-00512,Professional,P004,CloudDesk API Platform,Documentation,"Interactive, runnable code samples in multiple languages",The current code samples are helpful but only in a couple of languages. Runnable examples in more languages would speed up our integration work.,2026-04-28,Under Review,High,5,
FR-00195,CUST-00984,Enterprise,P002,CloudDesk Tickets,Integrations,Two-way tag sync with our project management tool,Currently tags only sync to the linked issue at creation time. We'd like tags added after the fact to sync automatically as well.,2025-01-16,Declined,Medium,27,Pamela Berry
FR-00196,CUST-00468,Starter,P003,CloudDesk Analytics,Reporting,Custom metric builder beyond the standard metric definitions,"We'd like to define our own calculated metrics (for example, a weighted composite score) rather than being limited to the standard, pre-defined metric set.",2024-11-23,Duplicate,High,36,Jason Sherman
FR-00197,CUST-00001,Starter,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2026-05-03,Duplicate,Medium,3,Donna Baird
FR-00198,CUST-00160,Professional,P001,CloudDesk Chat,Multi-language,Multi-language widget support on the Starter plan,Our team is small but multilingual. Being limited to a single widget language on Starter is a blocker even though we don't need the rest of Professional yet.,2026-05-20,Declined,High,3,Kelly Golden
FR-00199,CUST-00343,Professional,P001,CloudDesk Chat,UI/UX,Ability to preview widget on an actual staging URL before publishing,The live preview panel is helpful but doesn't reflect our actual site's CSS conflicts. A way to preview against a real staging URL would catch issues earlier.,2026-06-23,Planned,Low,1,John Williams
FR-00200,CUST-00232,Professional,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2025-10-18,Under Review,Medium,10,Jason Sherman
FR-00201,CUST-00383,Enterprise,P001,CloudDesk Chat,UI/UX,Ability to preview widget on an actual staging URL before publishing,The live preview panel is helpful but doesn't reflect our actual site's CSS conflicts. A way to preview against a real staging URL would catch issues earlier.,2025-10-10,Under Review,Medium,21,
FR-00202,CUST-00112,Starter,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2024-11-27,Planned,Medium,27,Pamela Berry
FR-00203,CUST-00850,Professional,P004,CloudDesk API Platform,Bulk Operations,Asynchronous bulk export job status via webhook instead of polling,We currently poll for large export job completion. A webhook notification when a bulk job finishes would be more efficient for us.,2026-07-06,Planned,Medium,8,John Williams
FR-00204,CUST-00667,Professional,P004,CloudDesk API Platform,Rate Limits,Burst allowance above the steady-state rate limit,Our usage is generally well within limits but spikes briefly during specific automated jobs. A short burst allowance would avoid unnecessary 429 errors.,2026-01-05,Under Review,Low,9,
FR-00205,CUST-00119,Professional,P002,CloudDesk Tickets,Custom Fields,Field-level permissions on custom fields,"Some of our custom fields contain sensitive account information that only certain roles should be able to view or edit, not just ticket-level permissions.",2024-04-25,Planned,Medium,32,Pamela Berry
FR-00206,CUST-00829,Starter,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2024-02-03,In Progress,High,48,Emily Dominguez
FR-00207,CUST-00499,Professional,P003,CloudDesk Analytics,Export,More frequent data warehouse export scheduling,The current export schedule options aren't frequent enough for our near-real-time internal reporting needs. We'd like an hourly option.,2024-09-25,Declined,Medium,23,Emily Dominguez
FR-00208,CUST-00417,Professional,P004,CloudDesk API Platform,Bulk Operations,Asynchronous bulk export job status via webhook instead of polling,We currently poll for large export job completion. A webhook notification when a bulk job finishes would be more efficient for us.,2024-03-19,Under Review,Low,33,Pamela Berry
FR-00209,CUST-00929,Starter,P003,CloudDesk Analytics,Dashboards,Dashboard version history and rollback,"When someone edits a shared dashboard's layout, we'd like to be able to see prior versions and roll back if the change wasn't an improvement.",2026-07-31,Under Review,High,2,Emily Dominguez
FR-00210,CUST-00500,Professional,P003,CloudDesk Analytics,Dashboards,Dashboard version history and rollback,"When someone edits a shared dashboard's layout, we'd like to be able to see prior versions and roll back if the change wasn't an improvement.",2026-05-07,Planned,Medium,6,Kelly Golden
FR-00211,CUST-00781,Starter,P004,CloudDesk API Platform,Developer Experience,Official Python SDK client library,"We're currently wrapping the REST API ourselves in Python. An official, maintained client library would reduce our maintenance burden.",2025-09-20,Under Review,Medium,15,Emily Dominguez
FR-00212,CUST-00028,Starter,P005,CloudDesk Mobile,UI/UX,Widget or home screen shortcut for quick status toggling,Switching availability status currently requires opening the app fully. A home screen widget for quick status toggling would save time between calls.,2025-12-12,Duplicate,Low,9,Donna Baird
FR-00213,CUST-00006,Professional,P003,CloudDesk Analytics,Alerts,"Threshold alerts based on rate of change, not just absolute value","We'd like to be alerted when a metric changes rapidly (e.g., a 30% jump in an hour) rather than only when it crosses a fixed absolute threshold.",2024-11-26,In Progress,Low,22,Emily Dominguez
FR-00214,CUST-00067,Starter,P003,CloudDesk Analytics,Reporting,Custom metric builder beyond the standard metric definitions,"We'd like to define our own calculated metrics (for example, a weighted composite score) rather than being limited to the standard, pre-defined metric set.",2026-03-06,Declined,Low,5,Emily Dominguez
FR-00215,CUST-00244,Enterprise,P002,CloudDesk Tickets,Automation,Conditional logic within a single automation rule,We'd like to combine multiple AND/OR conditions within one automation rule rather than needing to build several separate rules to achieve the same outcome.,2025-06-01,Planned,Medium,13,Kelly Golden
FR-00216,CUST-00028,Starter,P004,CloudDesk API Platform,Rate Limits,Burst allowance above the steady-state rate limit,Our usage is generally well within limits but spikes briefly during specific automated jobs. A short burst allowance would avoid unnecessary 429 errors.,2026-02-08,Duplicate,High,10,John Williams
FR-00217,CUST-00369,Enterprise,P001,CloudDesk Chat,Mobile SDK,In-app chat SDK support for React Native,Our mobile app is built in React Native and the current SDK only has native iOS/Android options. A React Native wrapper would save significant engineering time.,2024-02-20,Duplicate,Medium,46,Kelly Golden
FR-00218,CUST-00653,Professional,P003,CloudDesk Analytics,Alerts,"Threshold alerts based on rate of change, not just absolute value","We'd like to be alerted when a metric changes rapidly (e.g., a 30% jump in an hour) rather than only when it crosses a fixed absolute threshold.",2026-08-03,Under Review,High,1,Emily Dominguez
FR-00219,CUST-00532,Professional,P002,CloudDesk Tickets,Bulk Actions,Higher bulk action limits on Professional,"Our seasonal cleanup requires bulk-updating several thousand tickets at once, and the current Professional limit requires us to break this into many batches.",2024-06-18,Under Review,Low,32,Donna Baird
FR-00220,CUST-00181,Starter,P002,CloudDesk Tickets,Integrations,Two-way tag sync with our project management tool,Currently tags only sync to the linked issue at creation time. We'd like tags added after the fact to sync automatically as well.,2025-04-17,Under Review,Low,9,
FR-00221,CUST-00913,Professional,P004,CloudDesk API Platform,Documentation,"Interactive, runnable code samples in multiple languages",The current code samples are helpful but only in a couple of languages. Runnable examples in more languages would speed up our integration work.,2024-08-31,Declined,Medium,26,Jason Sherman
FR-00222,CUST-00383,Enterprise,P002,CloudDesk Tickets,Custom Fields,Field-level permissions on custom fields,"Some of our custom fields contain sensitive account information that only certain roles should be able to view or edit, not just ticket-level permissions.",2026-03-17,Under Review,Medium,10,
FR-00223,CUST-00682,Enterprise,P005,CloudDesk Mobile,Accessibility,Improved screen reader support throughout the app,"We have a team member who relies on a screen reader, and several screens in the app aren't fully navigable with it currently.",2025-10-14,Shipped,Low,13,John Williams
FR-00224,CUST-00198,Professional,P005,CloudDesk Mobile,Analytics,Push notification when a specific metric on the mobile snapshot changes significantly,"We'd like an optional push alert when our mobile-visible performance snapshot shows an unusual shift, similar to desktop threshold alerts.",2025-02-21,Under Review,Medium,27,
FR-00225,CUST-00703,Professional,P002,CloudDesk Tickets,Reporting,Backlog aging report broken out by tag,"We'd like to see how long tickets with a specific tag sit in the backlog on average, not just overall backlog age.",2025-10-15,Under Review,Low,13,
FR-00226,CUST-00010,Professional,P002,CloudDesk Tickets,UI/UX,Keyboard-only workflow for reviewing and merging duplicate tickets,Merging duplicates currently requires several clicks per pair. A faster keyboard-driven review flow would help during high-volume periods.,2026-07-09,Under Review,Medium,7,
FR-00227,CUST-00127,Enterprise,P001,CloudDesk Chat,Multi-language,Multi-language widget support on the Starter plan,Our team is small but multilingual. Being limited to a single widget language on Starter is a blocker even though we don't need the rest of Professional yet.,2026-04-03,Planned,Low,17,Pamela Berry
FR-00228,CUST-00712,Professional,P002,CloudDesk Tickets,Custom Fields,Field-level permissions on custom fields,"Some of our custom fields contain sensitive account information that only certain roles should be able to view or edit, not just ticket-level permissions.",2024-07-03,Shipped,Low,36,Donna Baird
FR-00229,CUST-00596,Starter,P003,CloudDesk Analytics,Export,More frequent data warehouse export scheduling,The current export schedule options aren't frequent enough for our near-real-time internal reporting needs. We'd like an hourly option.,2026-03-29,Planned,Low,1,Pamela Berry
FR-00230,CUST-00872,Starter,P002,CloudDesk Tickets,Integrations,Two-way tag sync with our project management tool,Currently tags only sync to the linked issue at creation time. We'd like tags added after the fact to sync automatically as well.,2024-12-26,Under Review,Medium,37,
