ticket_id,customer_id,created_date,priority,department,category,subject,message,assigned_agent,resolution,status,sentiment,resolution_time,escalation
TKT-000656,CUST-00130,2021-07-10 06:13,High,Account Management,Account Admin,Need to add new agent seats,We need some help managing our account — we're onboarding several new hires and need to add agent seats to our account. Let us know what you need from us to get this handled.,Diego Morales,Escalated internally; engineering confirmed a browser extension conflict and applied updating the relevant configuration setting.,Resolved,Neutral,10.8,Yes
TKT-000657,CUST-00097,2021-09-10 11:28,Low,Technical Support,Api Platform,Webhook not delivering events,"We're integrating with the CloudDesk API Platform and running into an issue — our configured webhook endpoint isn't receiving any events at all. Here's what we've checked on our end so far, but wanted to confirm with your team.",Diego Morales,Escalated internally; engineering confirmed an incorrect field mapping and applied upgrading to the appropriate plan tier.,Resolved,Neutral,18.4,No
TKT-000658,CUST-00066,2021-08-27 05:39,Low,Account Management,Account Admin,Question about custom role permissions,We need some help managing our account — we're not sure our custom role is configured with the correct set of permissions. Let us know what you need from us to get this handled.,Leo Schneider,,Open,Neutral,,No
TKT-000659,CUST-00689,2022-01-13 06:38,Urgent,Onboarding,Onboarding,Setting up first custom dashboard,We're in the process of setting up Corvex Cloud and could use some guidance — we're building our first custom dashboard and want guidance on best practices. Happy to hop on a call if that's easier.,Diego Morales,Escalated internally; engineering confirmed a caching delay and applied clearing cached data and reloading.,Resolved,Negative,2.5,No
TKT-000660,CUST-00851,2024-05-17 00:51,Low,Onboarding,Onboarding,Guidance on configuring SLA targets,We're in the process of setting up Corvex Cloud and could use some guidance — we need guidance on setting appropriate SLA targets for our team's priority levels. Happy to hop on a call if that's easier.,Yuki Tanaka,Resolved after updating configuration — adjusting the widget installation snippet. Customer confirmed resolution.,Resolved,Positive,21.9,No
TKT-000661,CUST-00547,2023-03-25 01:32,High,Security,Security,Requesting SSO configuration assistance,"We have a security-related question or request — help finishing our SAML SSO configuration, since our test login isn't completing. Given the nature of this, we'd appreciate a prompt response.",Noah Bennett,,Open,Neutral,,Yes
TKT-000662,CUST-00328,2025-10-31 17:14,Normal,Onboarding,Onboarding,Setting up first custom dashboard,We're in the process of setting up Corvex Cloud and could use some guidance — we're building our first custom dashboard and want guidance on best practices. Happy to hop on a call if that's easier.,Mia Rodriguez,,Open,Negative,,No
TKT-000663,CUST-00135,2026-06-15 20:15,Low,Onboarding,Onboarding,Need help connecting support email,We're in the process of setting up Corvex Cloud and could use some guidance — we're trying to connect our support email address and the verification isn't completing. Happy to hop on a call if that's easier.,Kwame Mensah,Escalated internally; engineering confirmed an incorrect field mapping and applied reauthorizing the integration.,Closed,Neutral,97.0,No
TKT-000664,CUST-00741,2026-04-30 18:13,High,Technical Support,Mobile,Push notifications not arriving on mobile,One of our agents is having trouble with CloudDesk Mobile — one of our agents isn't receiving push notifications for new assignments. Let us know if there's a setting we're missing.,Ravi Iyer,Escalated internally; engineering confirmed a caching delay and applied updating the relevant configuration setting.,Resolved,Positive,2.1,No
TKT-000665,CUST-00697,2026-08-01 21:24,Normal,Billing,Billing,Seat count discrepancy on invoice,We have a question about our billing — the seat count on our invoice doesn't match our actual active user count. Could someone from your billing team clarify this for us?,Yuki Tanaka,,Open,Neutral,,No
TKT-000666,CUST-00716,2022-05-12 10:32,Normal,Security,Security,Need audit log export for compliance review,"We have a security-related question or request — an export of our audit logs to support an upcoming internal compliance review. Given the nature of this, we'd appreciate a prompt response.",Victor Nguyen,Provided documentation and guided customer through clearing cached data and reloading to address a plan-tier feature limitation.,Resolved,Positive,23.1,Yes
TKT-000667,CUST-00142,2023-01-24 01:05,Normal,Technical Support,Mobile,Push notifications not arriving on mobile,One of our agents is having trouble with CloudDesk Mobile — one of our agents isn't receiving push notifications for new assignments. Let us know if there's a setting we're missing.,Chloe Martin,Walked the customer through upgrading to the appropriate plan tier. Root cause was a plan-tier feature limitation.,Resolved,Neutral,24.4,No
TKT-000668,CUST-00434,2024-12-13 01:37,Low,Onboarding,Onboarding,Help setting up chat widget for the first time,We're in the process of setting up Corvex Cloud and could use some guidance — we're configuring the chat widget for the first time and want to confirm we're doing it correctly. Happy to hop on a call if that's easier.,Freya Lindqvist,,Pending,Neutral,,No
TKT-000669,CUST-00511,2025-07-25 22:14,Low,Technical Support,Tickets Workflow,Merge tickets option missing,"We've run into a problem with CloudDesk Tickets — we can't find the merge option to combine two duplicate tickets. Our team relies on this working correctly for day-to-day queue management, so any help is appreciated.",Isla Campbell,Provided documentation and guided customer through correcting the field identifier reference to address an outdated integration credential.,Resolved,Neutral,66.6,No
TKT-000670,CUST-00380,2021-05-02 15:33,High,Security,Security,Requesting SSO configuration assistance,"We have a security-related question or request — help finishing our SAML SSO configuration, since our test login isn't completing. Given the nature of this, we'd appreciate a prompt response.",Mia Rodriguez,Issue identified as a plan-tier feature limitation; resolved by adjusting the widget installation snippet. Confirmed working with the customer.,Closed,Negative,8.6,No
TKT-000671,CUST-00896,2020-09-26 07:46,Low,Account Management,Account Admin,Question about custom role permissions,We need some help managing our account — we're not sure our custom role is configured with the correct set of permissions. Let us know what you need from us to get this handled.,Finn O'Brien,Walked the customer through reauthorizing the integration. Root cause was a misconfigured routing rule.,Resolved,Negative,81.5,No
TKT-000672,CUST-00591,2025-09-30 18:27,Normal,Technical Support,Analytics,Scheduled report not arriving,"Our CloudDesk Analytics dashboard isn't behaving as expected — our weekly scheduled report stopped arriving in our inbox. We use this report regularly for our team standup, so we'd like this resolved soon.",Ravi Iyer,Resolved after updating configuration — adjusting the widget installation snippet. Customer confirmed resolution.,Resolved,Positive,18.7,No
TKT-000673,CUST-00395,2024-07-10 13:17,Low,Security,Security,IP allowlisting not permitting access,"We have a security-related question or request — our IP allowlist is blocking legitimate traffic from a newly added office location. Given the nature of this, we'd appreciate a prompt response.",Ava Thompson,Resolved after updating configuration — rotating the affected credential. Customer confirmed resolution.,Resolved,Neutral,37.1,Yes
TKT-000674,CUST-00640,2026-07-18 14:32,Normal,Onboarding,Onboarding,Setting up first custom dashboard,We're in the process of setting up Corvex Cloud and could use some guidance — we're building our first custom dashboard and want guidance on best practices. Happy to hop on a call if that's easier.,Ingrid Solberg,Issue identified as an outdated integration credential; resolved by reauthorizing the integration. Confirmed working with the customer.,Resolved,Neutral,35.6,No
TKT-000675,CUST-00986,2024-09-04 10:02,High,Onboarding,Onboarding,Help setting up chat widget for the first time,We're in the process of setting up Corvex Cloud and could use some guidance — we're configuring the chat widget for the first time and want to confirm we're doing it correctly. Happy to hop on a call if that's easier.,Finn O'Brien,Issue identified as a plan-tier feature limitation; resolved by waiting for propagation and reverifying. Confirmed working with the customer.,Resolved,Neutral,4.8,No
TKT-000676,CUST-00399,2024-10-14 14:39,Normal,Technical Support,Chat Widget,Real-time messages delayed,"Hi team, we're seeing an issue with the CloudDesk Chat widget on our site — messages are taking over a minute to deliver between agent and customer. This started since our last update and is affecting our support queue. Can someone take a look?",Leo Schneider,,Open,Neutral,,No
TKT-000677,CUST-00594,2026-07-30 21:12,Normal,Billing,Billing,Need a copy of last invoice,We have a question about our billing — we need an itemized copy of our last invoice for our own accounting records. Could someone from your billing team clarify this for us?,Sarah Chen,Escalated internally; engineering confirmed a browser extension conflict and applied upgrading to the appropriate plan tier.,Resolved,Neutral,26.0,No
TKT-000678,CUST-00195,2024-06-15 20:31,Normal,Product & Feature Requests,Feature Request,Requesting a new reporting feature,We wanted to pass along a feature suggestion — a way to schedule dashboard exports more frequently than the current options allow. This would make a meaningful difference for our team's workflow.,Sam Delgado,Escalated internally; engineering confirmed a browser extension conflict and applied upgrading to the appropriate plan tier.,Resolved,Neutral,54.5,No
TKT-000679,CUST-00593,2026-08-03 18:49,Low,Product & Feature Requests,Feature Request,Suggestion for chat widget customization,We wanted to pass along a feature suggestion — more granular control over chat widget font and spacing customization. This would make a meaningful difference for our team's workflow.,Ingrid Solberg,Provided documentation and guided customer through adjusting the widget installation snippet to address an incorrect field mapping.,Resolved,Positive,29.0,No
TKT-000680,CUST-00045,2024-12-19 06:57,Normal,Product & Feature Requests,Feature Request,Would like multi-brand support on lower tier,"We wanted to pass along a feature suggestion — multi-brand widget support currently limited to Enterprise, which is a stretch for our team size. This would make a meaningful difference for our team's workflow.",Sarah Chen,Walked the customer through reauthorizing the integration. Root cause was a plan-tier feature limitation.,Resolved,Negative,26.4,No
TKT-000681,CUST-00162,2024-12-22 12:21,Normal,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,Mia Rodriguez,Walked the customer through reauthorizing the integration. Root cause was a browser extension conflict.,Closed,Neutral,14.4,No
TKT-000682,CUST-00328,2022-08-08 08:58,Urgent,Account Management,Account Admin,Reviewing our current plan usage,We need some help managing our account — we'd like a summary of our current seat and feature usage ahead of renewal. Let us know what you need from us to get this handled.,Sarah Chen,Issue identified as an incorrect field mapping; resolved by clearing cached data and reloading. Confirmed working with the customer.,Resolved,Neutral,1.0,Yes
TKT-000683,CUST-00886,2025-02-25 22:52,Urgent,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,Nora Kowalski,,Pending,Positive,,Yes
TKT-000684,CUST-00327,2017-02-20 13:26,Low,Onboarding,Onboarding,Setting up first custom dashboard,We're in the process of setting up Corvex Cloud and could use some guidance — we're building our first custom dashboard and want guidance on best practices. Happy to hop on a call if that's easier.,Ingrid Solberg,Issue identified as an expired authentication token; resolved by clearing cached data and reloading. Confirmed working with the customer.,Closed,Positive,19.8,No
TKT-000685,CUST-00050,2025-04-05 18:50,Normal,Account Management,Account Admin,Request to deactivate former employee,We need some help managing our account — we need to deactivate a former employee's account as part of our offboarding process. Let us know what you need from us to get this handled.,Amara Chukwu,Resolved after updating configuration — adjusting the widget installation snippet. Customer confirmed resolution.,Resolved,Neutral,33.6,No
TKT-000686,CUST-00458,2023-07-27 02:12,High,Product & Feature Requests,Feature Request,Requesting bulk action improvements,We wanted to pass along a feature suggestion — a higher bulk action limit on our current plan tier for large-scale ticket cleanup. This would make a meaningful difference for our team's workflow.,Freya Lindqvist,Escalated internally; engineering confirmed a browser extension conflict and applied correcting the field identifier reference.,Closed,Neutral,2.6,No
TKT-000687,CUST-00413,2024-04-25 13:58,High,Technical Support,Account Access,SSO login failing,"We're having trouble accessing our account — SSO login redirects back to the login screen without completing authentication. This is blocking our team from working, so any urgency you can provide is appreciated.",Ava Thompson,Issue identified as an outdated integration credential; resolved by rotating the affected credential. Confirmed working with the customer.,Resolved,Negative,10.2,Yes
TKT-000688,CUST-00959,2023-06-06 15:06,High,Onboarding,Onboarding,Need help connecting support email,We're in the process of setting up Corvex Cloud and could use some guidance — we're trying to connect our support email address and the verification isn't completing. Happy to hop on a call if that's easier.,Noah Bennett,Provided documentation and guided customer through updating the relevant configuration setting to address a caching delay.,Closed,Negative,6.5,Yes
TKT-000689,CUST-00265,2020-07-26 18:59,Normal,Technical Support,Api Platform,Pagination returning duplicate records,"We're integrating with the CloudDesk API Platform and running into an issue — iterating through paginated ticket results is returning the same record twice. Here's what we've checked on our end so far, but wanted to confirm with your team.",Diego Morales,Escalated internally; engineering confirmed a misconfigured routing rule and applied updating the relevant configuration setting.,Resolved,Neutral,8.6,No
TKT-000690,CUST-00118,2021-04-23 11:08,Low,Security,Security,Requesting SSO configuration assistance,"We have a security-related question or request — help finishing our SAML SSO configuration, since our test login isn't completing. Given the nature of this, we'd appreciate a prompt response.",Sarah Chen,,Open,Neutral,,No
TKT-000691,CUST-00138,2023-01-18 11:48,Normal,Product & Feature Requests,Feature Request,Suggestion for chat widget customization,We wanted to pass along a feature suggestion — more granular control over chat widget font and spacing customization. This would make a meaningful difference for our team's workflow.,Ingrid Solberg,Escalated internally; engineering confirmed a plan-tier feature limitation and applied upgrading to the appropriate plan tier.,Resolved,Neutral,24.7,No
TKT-000692,CUST-00296,2025-05-21 20:16,High,Billing,Billing,Requesting switch to annual billing,We have a question about our billing — we'd like to switch from monthly to annual billing to take advantage of the discount. Could someone from your billing team clarify this for us?,Yuki Tanaka,Provided documentation and guided customer through waiting for propagation and reverifying to address a DNS propagation delay.,Closed,Positive,7.7,Yes
TKT-000693,CUST-00918,2026-08-02 13:40,High,Onboarding,Onboarding,Need help connecting support email,We're in the process of setting up Corvex Cloud and could use some guidance — we're trying to connect our support email address and the verification isn't completing. Happy to hop on a call if that's easier.,Ava Thompson,,Open,Positive,,Yes
TKT-000694,CUST-00973,2022-05-12 05:36,Normal,Security,Security,Need audit log export for compliance review,"We have a security-related question or request — an export of our audit logs to support an upcoming internal compliance review. Given the nature of this, we'd appreciate a prompt response.",Zara Ahmed,Resolved after updating configuration — clearing cached data and reloading. Customer confirmed resolution.,Resolved,Neutral,28.5,No
TKT-000695,CUST-00298,2026-07-22 01:51,Normal,Technical Support,Tickets Workflow,Ticket assignment rule not working,"We've run into a problem with CloudDesk Tickets — new tickets aren't being assigned to the right team despite our routing rule. Our team relies on this working correctly for day-to-day queue management, so any help is appreciated.",Amara Chukwu,Escalated internally; engineering confirmed a DNS propagation delay and applied reauthorizing the integration.,Closed,Positive,26.0,No
TKT-000696,CUST-00785,2026-04-15 15:50,Normal,Billing,Billing,Need a copy of last invoice,We have a question about our billing — we need an itemized copy of our last invoice for our own accounting records. Could someone from your billing team clarify this for us?,Victor Nguyen,Escalated internally; engineering confirmed a plan-tier feature limitation and applied upgrading to the appropriate plan tier.,Closed,Neutral,25.2,No
TKT-000697,CUST-00921,2025-09-08 21:30,High,Billing,Billing,Need a copy of last invoice,We have a question about our billing — we need an itemized copy of our last invoice for our own accounting records. Could someone from your billing team clarify this for us?,Sarah Chen,,Open,Neutral,,Yes
TKT-000698,CUST-00060,2022-02-06 23:55,High,Product & Feature Requests,Feature Request,Requesting a new reporting feature,We wanted to pass along a feature suggestion — a way to schedule dashboard exports more frequently than the current options allow. This would make a meaningful difference for our team's workflow.,Ingrid Solberg,Escalated internally; engineering confirmed an expired authentication token and applied reauthorizing the integration.,Closed,Positive,8.0,Yes
TKT-000699,CUST-00540,2023-02-24 23:15,Normal,Account Management,Account Admin,Need to add new agent seats,We need some help managing our account — we're onboarding several new hires and need to add agent seats to our account. Let us know what you need from us to get this handled.,Isla Campbell,,Pending,Negative,,No
TKT-000700,CUST-00700,2024-08-22 00:56,High,Billing,Billing,Question about invoice charge,We have a question about our billing — a line item on our latest invoice doesn't match what we expected to be charged. Could someone from your billing team clarify this for us?,Mia Rodriguez,Resolved after updating configuration — correcting the field identifier reference. Customer confirmed resolution.,Closed,Neutral,3.4,Yes
TKT-000701,CUST-00939,2024-11-04 09:41,High,Technical Support,Tickets Workflow,Ticket assignment rule not working,"We've run into a problem with CloudDesk Tickets — new tickets aren't being assigned to the right team despite our routing rule. Our team relies on this working correctly for day-to-day queue management, so any help is appreciated.",Caleb Foster,Escalated internally; engineering confirmed an outdated integration credential and applied waiting for propagation and reverifying.,Resolved,Positive,6.6,No
TKT-000702,CUST-00934,2022-12-25 15:53,High,Technical Support,Chat Widget,Widget displaying incorrectly on mobile,"Hi team, we're seeing an issue with the CloudDesk Chat widget on our site — the widget appears cut off and misaligned on mobile browsers. This started over the weekend and is affecting our support queue. Can someone take a look?",Priya Desai,,Pending,Neutral,,Yes
TKT-000703,CUST-00883,2024-10-29 02:23,Normal,Billing,Billing,Trial converted to paid unexpectedly,We have a question about our billing — we were charged even though we believed we were still within our trial period. Could someone from your billing team clarify this for us?,Sam Delgado,Walked the customer through rotating the affected credential. Root cause was an expired authentication token.,Resolved,Positive,3.2,No
TKT-000704,CUST-00684,2024-04-14 03:44,High,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,Ethan Park,Resolved after updating configuration — waiting for propagation and reverifying. Customer confirmed resolution.,Closed,Negative,0.6,No
TKT-000705,CUST-00491,2025-10-14 20:15,Urgent,Product & Feature Requests,Feature Request,Suggestion for chat widget customization,We wanted to pass along a feature suggestion — more granular control over chat widget font and spacing customization. This would make a meaningful difference for our team's workflow.,Leo Schneider,Resolved after updating configuration — updating the relevant configuration setting. Customer confirmed resolution.,Resolved,Neutral,2.2,No
TKT-000706,CUST-00802,2024-06-17 09:10,Low,Onboarding,Onboarding,Guidance on configuring SLA targets,We're in the process of setting up Corvex Cloud and could use some guidance — we need guidance on setting appropriate SLA targets for our team's priority levels. Happy to hop on a call if that's easier.,Nora Kowalski,Resolved after updating configuration — upgrading to the appropriate plan tier. Customer confirmed resolution.,Resolved,Neutral,42.3,No
TKT-000707,CUST-00405,2026-06-26 12:52,Normal,Billing,Billing,Trial converted to paid unexpectedly,We have a question about our billing — we were charged even though we believed we were still within our trial period. Could someone from your billing team clarify this for us?,Isla Campbell,,Open,Neutral,,No
TKT-000708,CUST-00001,2022-08-30 07:24,Normal,Product & Feature Requests,Feature Request,Suggestion for chat widget customization,We wanted to pass along a feature suggestion — more granular control over chat widget font and spacing customization. This would make a meaningful difference for our team's workflow.,Isla Campbell,Resolved after updating configuration — waiting for propagation and reverifying. Customer confirmed resolution.,Resolved,Neutral,20.4,No
TKT-000709,CUST-00156,2024-11-26 17:07,Low,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,Leo Schneider,,Open,Negative,,No
TKT-000710,CUST-00983,2026-03-30 16:58,Urgent,Technical Support,Chat Widget,Real-time messages delayed,"Hi team, we're seeing an issue with the CloudDesk Chat widget on our site — messages are taking over a minute to deliver between agent and customer. This started earlier this week and is affecting our support queue. Can someone take a look?",Caleb Foster,Resolved after updating configuration — adjusting the widget installation snippet. Customer confirmed resolution.,Resolved,Negative,1.4,Yes
TKT-000711,CUST-00843,2023-02-25 21:28,High,Account Management,Account Admin,Reviewing our current plan usage,We need some help managing our account — we'd like a summary of our current seat and feature usage ahead of renewal. Let us know what you need from us to get this handled.,Victor Nguyen,Provided documentation and guided customer through rotating the affected credential to address an expired authentication token.,Resolved,Neutral,5.4,No
TKT-000712,CUST-00058,2026-07-04 17:00,Normal,Technical Support,Chat Widget,Chat widget not loading,"Hi team, we're seeing an issue with the CloudDesk Chat widget on our site — the widget doesn't appear on our product pages at all. This started earlier this week and is affecting our support queue. Can someone take a look?",Victor Nguyen,Provided documentation and guided customer through waiting for propagation and reverifying to address a caching delay.,Resolved,Neutral,30.4,No
TKT-000713,CUST-00655,2021-01-09 03:01,High,Billing,Billing,Requesting refund for duplicate charge,We have a question about our billing — we were charged twice for the same billing period and would like this corrected. Could someone from your billing team clarify this for us?,Ethan Park,Issue identified as a caching delay; resolved by adjusting the widget installation snippet. Confirmed working with the customer.,Closed,Positive,3.3,Yes
TKT-000714,CUST-00520,2025-03-05 12:47,Normal,Onboarding,Onboarding,Need help connecting support email,We're in the process of setting up Corvex Cloud and could use some guidance — we're trying to connect our support email address and the verification isn't completing. Happy to hop on a call if that's easier.,Victor Nguyen,,Pending,Neutral,,No
TKT-000715,CUST-00616,2026-08-01 04:11,Normal,Billing,Billing,Seat count discrepancy on invoice,We have a question about our billing — the seat count on our invoice doesn't match our actual active user count. Could someone from your billing team clarify this for us?,Sam Delgado,Walked the customer through correcting the field identifier reference. Root cause was a misconfigured routing rule.,Resolved,Positive,25.4,No
TKT-000716,CUST-00976,2024-09-08 02:28,High,Technical Support,Tickets Workflow,Ticket assignment rule not working,"We've run into a problem with CloudDesk Tickets — new tickets aren't being assigned to the right team despite our routing rule. Our team relies on this working correctly for day-to-day queue management, so any help is appreciated.",Diego Morales,,Open,Neutral,,Yes
TKT-000717,CUST-00719,2026-03-18 17:43,Urgent,Account Management,Account Admin,Request to deactivate former employee,We need some help managing our account — we need to deactivate a former employee's account as part of our offboarding process. Let us know what you need from us to get this handled.,Zara Ahmed,Escalated internally; engineering confirmed an incorrect field mapping and applied updating the relevant configuration setting.,Closed,Negative,1.9,Yes
TKT-000718,CUST-00969,2024-04-28 22:21,Low,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,Ava Thompson,Escalated internally; engineering confirmed a browser extension conflict and applied rotating the affected credential.,Resolved,Negative,62.1,No
TKT-000719,CUST-00339,2026-08-03 02:17,Urgent,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,Nora Kowalski,Provided documentation and guided customer through rotating the affected credential to address a plan-tier feature limitation.,Closed,Neutral,1.8,Yes
TKT-000720,CUST-00304,2021-09-19 20:43,High,Billing,Billing,Requesting refund for duplicate charge,We have a question about our billing — we were charged twice for the same billing period and would like this corrected. Could someone from your billing team clarify this for us?,Diego Morales,,Pending,Neutral,,No
TKT-000721,CUST-00222,2022-06-01 04:05,Low,Account Management,Account Admin,Requesting account ownership transfer,We need some help managing our account — our account owner is leaving the company and we need to transfer ownership. Let us know what you need from us to get this handled.,Ingrid Solberg,Provided documentation and guided customer through adjusting the widget installation snippet to address an incorrect field mapping.,Resolved,Neutral,0.2,No
TKT-000722,CUST-00923,2026-06-07 16:01,Normal,Billing,Billing,Update payment method on file,We have a question about our billing — we need to update the credit card on file before our next renewal date. Could someone from your billing team clarify this for us?,Amara Chukwu,,Open,Neutral,,No
TKT-000723,CUST-00850,2023-09-15 05:02,Normal,Billing,Billing,Update payment method on file,We have a question about our billing — we need to update the credit card on file before our next renewal date. Could someone from your billing team clarify this for us?,Sam Delgado,Issue identified as a misconfigured routing rule; resolved by adjusting the widget installation snippet. Confirmed working with the customer.,Closed,Neutral,28.4,No
TKT-000724,CUST-00782,2021-12-28 17:19,Low,Technical Support,Api Platform,API returning 401 errors,"We're integrating with the CloudDesk API Platform and running into an issue — we're getting 401 Unauthorized errors despite using what we believe is a valid API key. Here's what we've checked on our end so far, but wanted to confirm with your team.",Ingrid Solberg,Issue identified as a caching delay; resolved by reauthorizing the integration. Confirmed working with the customer.,Resolved,Neutral,31.1,No
TKT-000725,CUST-00940,2026-07-29 18:02,Low,Security,Security,Need audit log export for compliance review,"We have a security-related question or request — an export of our audit logs to support an upcoming internal compliance review. Given the nature of this, we'd appreciate a prompt response.",Yuki Tanaka,,Open,Negative,,No
TKT-000726,CUST-00651,2023-07-08 03:56,High,Security,Security,Requesting SSO configuration assistance,"We have a security-related question or request — help finishing our SAML SSO configuration, since our test login isn't completing. Given the nature of this, we'd appreciate a prompt response.",Leo Schneider,Issue identified as an expired authentication token; resolved by adjusting the widget installation snippet. Confirmed working with the customer.,Resolved,Neutral,6.6,No
TKT-000727,CUST-00652,2024-04-29 03:55,Low,Technical Support,Tickets Workflow,SLA countdown showing incorrect time,"We've run into a problem with CloudDesk Tickets — the SLA timer on several tickets seems to reset or jump unexpectedly. Our team relies on this working correctly for day-to-day queue management, so any help is appreciated.",Mia Rodriguez,Provided documentation and guided customer through waiting for propagation and reverifying to address a caching delay.,Resolved,Neutral,45.0,No
TKT-000728,CUST-00689,2025-04-24 03:31,Normal,Billing,Billing,Update payment method on file,We have a question about our billing — we need to update the credit card on file before our next renewal date. Could someone from your billing team clarify this for us?,Mia Rodriguez,,Open,Neutral,,No
TKT-000729,CUST-00817,2025-11-04 09:40,Low,Technical Support,Chat Widget,Pre-chat form not saving customer email,"Hi team, we're seeing an issue with the CloudDesk Chat widget on our site — the pre-chat form isn't saving customer email addresses to the conversation. This started yesterday afternoon and is affecting our support queue. Can someone take a look?",Noah Bennett,Walked the customer through adjusting the widget installation snippet. Root cause was a DNS propagation delay.,Resolved,Positive,80.6,No
TKT-000730,CUST-00907,2025-11-27 23:06,Normal,Product & Feature Requests,Feature Request,Requesting bulk action improvements,We wanted to pass along a feature suggestion — a higher bulk action limit on our current plan tier for large-scale ticket cleanup. This would make a meaningful difference for our team's workflow.,Ethan Park,Resolved after updating configuration — adjusting the widget installation snippet. Customer confirmed resolution.,Resolved,Neutral,25.2,No
TKT-000731,CUST-00733,2025-05-27 20:36,Normal,Account Management,Account Admin,Need to add new agent seats,We need some help managing our account — we're onboarding several new hires and need to add agent seats to our account. Let us know what you need from us to get this handled.,Isla Campbell,Escalated internally; engineering confirmed an expired authentication token and applied upgrading to the appropriate plan tier.,Resolved,Positive,31.0,No
TKT-000732,CUST-00097,2021-07-31 18:28,Normal,Account Management,Account Admin,Question about custom role permissions,We need some help managing our account — we're not sure our custom role is configured with the correct set of permissions. Let us know what you need from us to get this handled.,Finn O'Brien,Walked the customer through correcting the field identifier reference. Root cause was a misconfigured routing rule.,Closed,Neutral,10.7,No
TKT-000733,CUST-00111,2023-01-21 20:50,Normal,Billing,Billing,Need a copy of last invoice,We have a question about our billing — we need an itemized copy of our last invoice for our own accounting records. Could someone from your billing team clarify this for us?,Mia Rodriguez,,Pending,Positive,,No
TKT-000734,CUST-00684,2023-02-09 23:53,Normal,Onboarding,Onboarding,Guidance on configuring SLA targets,We're in the process of setting up Corvex Cloud and could use some guidance — we need guidance on setting appropriate SLA targets for our team's priority levels. Happy to hop on a call if that's easier.,Sarah Chen,Provided documentation and guided customer through updating the relevant configuration setting to address an outdated integration credential.,Resolved,Negative,26.2,No
TKT-000735,CUST-01000,2024-11-01 14:05,Normal,Onboarding,Onboarding,Guidance on configuring SLA targets,We're in the process of setting up Corvex Cloud and could use some guidance — we need guidance on setting appropriate SLA targets for our team's priority levels. Happy to hop on a call if that's easier.,Ravi Iyer,,Pending,Neutral,,No
TKT-000736,CUST-00086,2026-01-11 03:51,Normal,Billing,Billing,Trial converted to paid unexpectedly,We have a question about our billing — we were charged even though we believed we were still within our trial period. Could someone from your billing team clarify this for us?,James Okafor,Issue identified as an outdated integration credential; resolved by adjusting the widget installation snippet. Confirmed working with the customer.,Resolved,Neutral,19.9,No
TKT-000737,CUST-00842,2026-02-20 21:29,High,Billing,Billing,Requesting refund for duplicate charge,We have a question about our billing — we were charged twice for the same billing period and would like this corrected. Could someone from your billing team clarify this for us?,Ethan Park,Escalated internally; engineering confirmed a caching delay and applied upgrading to the appropriate plan tier.,Resolved,Neutral,1.8,No
TKT-000738,CUST-00848,2025-02-10 16:43,Normal,Product & Feature Requests,Feature Request,Requesting a new reporting feature,We wanted to pass along a feature suggestion — a way to schedule dashboard exports more frequently than the current options allow. This would make a meaningful difference for our team's workflow.,Owen Fitzgerald,,Open,Positive,,No
TKT-000739,CUST-00666,2022-01-15 22:25,Normal,Account Management,Account Admin,Requesting account ownership transfer,We need some help managing our account — our account owner is leaving the company and we need to transfer ownership. Let us know what you need from us to get this handled.,Lucia Ferrari,Issue identified as a caching delay; resolved by upgrading to the appropriate plan tier. Confirmed working with the customer.,Resolved,Negative,24.1,No
TKT-000740,CUST-00371,2026-07-25 13:24,Normal,Onboarding,Onboarding,Migrating historical tickets from previous platform,We're in the process of setting up Corvex Cloud and could use some guidance — we're migrating several years of historical tickets from our previous support platform. Happy to hop on a call if that's easier.,Owen Fitzgerald,Escalated internally; engineering confirmed a misconfigured routing rule and applied rotating the affected credential.,Resolved,Neutral,29.8,No
TKT-000741,CUST-00199,2022-03-08 19:24,Normal,Security,Security,IP allowlisting not permitting access,"We have a security-related question or request — our IP allowlist is blocking legitimate traffic from a newly added office location. Given the nature of this, we'd appreciate a prompt response.",Mia Rodriguez,Provided documentation and guided customer through clearing cached data and reloading to address a misconfigured routing rule.,Closed,Neutral,18.6,No
